#,Lecture name,Word/ Expression,Phonetic,Korean,Vietnamese
1,Git - advanced 1,Squash the last 3 commits,skwɒʃ ðə lɑːst 3 kəˈmɪts,최근 3개의 commit을 합치다,Hủy bỏ 3 lần commit gần nhất
2,Git - advanced 1,Push commits to a repository,pʊʃ kəˈmɪts tuː ə rɪˈpɒzɪtᵊri,repository(코드저장소)로 commit  을 전달하다,Đẩy commit lên kho lưu trữ
3,Git - advanced 1,Merge a feature branch into the base branch,mɜːʤ ə ˈfiːʧə brɑːnʧ ˈɪntuː ðə beɪs brɑːnʧ,기능 branch를 기본 branch 에 병합하다,Gộp nhánh tính năng vào nhánh cơ sở
4,Git - advanced 1,Push commits to a repository,rɪˈvɜːt ə pʊl rɪˈkwɛst,pull request를 되돌리다(이전상태로 되돌리다),Hoàn nguyên pull request
5,Git - advanced 1,Request a review,rɪˈkwɛst ə rɪˈvjuː,검토를 요청하다,Yêu cầu đánh giá
6,Git - advanced 1,Comment on a pull request,ˈkɒmɛnt ɒn ə pʊl rɪˈkwɛst,pull request 에 댓글을 남기다,Bình luận trên pull request
7,Git - advanced 1,Resolve a merge conflict,rɪˈzɒlv ə mɜːʤ ˈkɒnflɪkt,병합 충돌을 해결하다,Giải quyết merge conflict
8,Git - advanced 1,Rebase onto another branch,riːˈbeɪs ˈɒntʊ əˈnʌðə brɑːnʧ,다른 branch 로 rebase(bace를 재설정하다) 하다,Rebase lên nhánh khác
9,Git - advanced 1,Clone a repository ,kləʊn ə rɪˈpɒzɪtᵊri,repository 를 복제하다,Bản sao kho lưu trữ
10,Git - advanced 1,Close a pull request without merging it into the branch,kləʊz ə pʊl rɪˈkwɛst wɪˈðaʊt mergint ɪt ˈɪntuː ðə brɑːnʧ,full request 를 병합하지 않고 종료하다,Đóng pull request mà không hợp nhất nó vào nhánh
1,Code review 1,Declare a (variable/ function/ class),dɪˈkleər eɪ,(변수/ 함수/ 클래스)를 선언하다,Khai báo
2,Code review 1,Declare a pure function.,dɪˈkleər ə pjʊə ˈfʌŋkʃᵊn.,순수 함수(동일한 인자에 대해 항상 도일한 값 반환)를 선언하다.,Khai báo một pure function
3,Code review 1,Assign a value to a variable,əˈsaɪn ə ˈvæljuː tuː ə ˈveərɪəbᵊl,변수에 값을 할당하다,Gán giá trị cho một biến
4,Code review 1,Assign 5 to an integer variable.,əˈsaɪn 5 tuː ən ˈɪntɪʤə ˈveərɪəbᵊl.,정수 변수에 5를 할당하다.,Gán 5 cho biến số nguyên
5,Code review 1,Name a class,neɪm ə klɑːs,class의 이름을 짓다,Định danh cho một lớp
6,Code review 1,Name a variable,neɪm ə ˈveərɪəbᵊl,변수의 이름을 짓다,Định danh cho một biến
7,Code review 1,Pass an argument to a function,pɑːs ən ˈɑːɡjəmənt tuː ə ˈfʌŋkʃᵊn,함수에 인자를 전달하다,Truyền đối số cho hàm
8,Code review 1,Pass arguments to a recursive function,pɑːs ˈɑːɡjəmənts tuː ə ˌriːˈkɜːsɪv ˈfʌŋkʃᵊn,재귀 함수에 인자들을 전달하다.,Truyền đối số cho hàm đệ quy
9,Code review 1,Return the result of execution,rɪˈtɜːn ðə rɪˈzʌlt ɒv ˌɛksɪˈkjuːʃᵊn,실행 결과를 반환하다,Trả kết quả thực hiện
10,Code review 1,The function computes a return value,ðə ˈfʌŋkʃᵊn kəmˈpjuːts ə rɪˈtɜːn ˈvæljuː,함수는 변환값을 계산합니다.,Hàm tính toán giá trị trả lại
1,Code review 2,Call a function,kɔːl ə ˈfʌŋkʃᵊn,함수를 호출하다,Gọi hàm
2,Code review 2,Function call,fʌŋkʃən kɔl,함수 호출,Function call
3,Code review 2,Inherit data from a parent object,ɪnˈhɛrɪt ˈdeɪtə frɒm ə ˈpeərᵊnt ˈɒbʤɪkt,부모 객체로부터 데이터를 상속 받다,Kế thừa dữ liệu từ một tập mẫu
4,Code review 2,A child class inherited from its parent class,ə ʧaɪld klɑːs ɪnˈhɛrɪtɪd frɒm ɪts ˈpeərᵊnt klɑːs,부모 클래스로부터 상속 받은 자식 클래스,Tập con kế thừa từ tập mẫu
5,Code review 2,Execute (Run) a loop body,ɛksɪkjuːt (rʌn) ə luːp ˈbɒdi,반복문의 내용을 수행하다,Chạy lặp
6,Code review 2,Excute a block of code for a certain number of times,excute ə blɒk ɒv kəʊd fɔːr ə ˈsɜːtᵊn ˈnʌmbər ɒv taɪmz,일정 횟수 동안 코드 블록을 실행하다.,Thực thi một khối mã trong một số lần nhất định
7,Code review 2,Iterate over (through) an array,ɪtəreɪt ˈəʊvə (θruː) ən əˈreɪ,배열을 돌면서 반복하다,lặp lại một mảng
8,Code review 2,The for loop iterates over the properties of an object.,ðə fɔː luːp ˈɪtəreɪts ˈəʊvə ðə ˈprɒpətiz ɒv ən ˈɒbʤɪkt.,For 반복문은 객체의 속성을 돌며 반복합니다.,Vòng lặp for lặp lại qua các thuộc tính của một đối tượng.
9,Code review 2,The conditional Statement evaluates to true,"ðə kənˈdɪʃᵊnᵊl ˈsteɪtmənt ɪˈvæljueɪts tuː truː",조건문이 참으로 평가되다,câu điều kiện là đúng
10,Code review 2,"If the condition expression evaluates to true, the code in the loop will be executed","If the condition expression evaluates to true, the code in the loop will be executed.","조건 표현이 참으로 평가되면, 반복문의 코드가 실행될 것입니다.","Nếu biểu thức điều kiện đánh giá thành true, mã trong vòng lặp sẽ được thực thi"
1,Code review 3,Jump out of a loop,ʤʌmp aʊt ɒv ə luːp,반복문에서 빠져나오다,Ra khỏi vòng lặp
